subno,Verb Fluidity,General Knowledge,Word Understanding,Workplace Learning,Numerical Reasoning,Multi-tasking,Word Processing Speed,Vocabulary,Short Term Memory,Idea Generation,Number Categorisation
1.0,6.0,8.0,7.0,11.0,13.0,7.0,9.0,12.0,9.0,12.0,9.0
2.0,6.0,9.0,6.0,8.0,8.0,12.0,7.0,11.0,12.0,7.0,14.0
3.0,18.0,13.0,18.0,8.0,11.0,12.0,16.0,15.0,6.0,11.0,9.0
4.0,13.0,8.0,11.0,4.0,6.0,12.0,12.0,9.0,7.0,7.0,11.0
5.0,7.0,10.0,3.0,7.0,8.0,4.0,9.0,12.0,9.0,11.0,10.0
6.0,6.0,11.0,7.0,12.0,15.0,5.0,12.0,10.0,12.0,10.0,10.0
7.0,12.0,4.0,11.0,7.0,5.0,13.0,6.0,9.0,4.0,12.0,8.0
8.0,8.0,7.0,10.0,14.0,10.0,10.0,15.0,10.0,7.0,11.0,12.0
9.0,10.0,10.0,8.0,11.0,8.0,9.0,14.0,9.0,9.0,10.0,6.0
10.0,10.0,9.0,10.0,12.0,8.0,13.0,11.0,9.0,11.0,9.0,13.0
11.0,15.0,11.0,15.0,12.0,13.0,10.0,14.0,12.0,7.0,10.0,4.0
12.0,14.0,12.0,11.0,7.0,8.0,9.0,11.0,13.0,13.0,11.0,10.0
13.0,14.0,8.0,12.0,17.0,12.0,12.0,15.0,13.0,13.0,9.0,7.0
14.0,13.0,9.0,5.0,10.0,7.0,15.0,11.0,13.0,7.0,15.0,11.0
15.0,11.0,9.0,15.0,13.0,8.0,11.0,15.0,13.0,8.0,11.0,7.0
16.0,17.0,12.0,11.0,12.0,9.0,11.0,17.0,17.0,7.0,11.0,5.0
17.0,7.0,12.0,10.0,7.0,12.0,14.0,12.0,12.0,12.0,10.0,8.0
18.0,11.0,5.0,6.0,8.0,5.0,11.0,8.0,6.0,5.0,10.0,5.0
19.0,6.0,12.0,12.0,7.0,9.0,11.0,14.0,13.0,8.0,11.0,12.0
20.0,9.0,11.0,10.0,7.0,9.0,6.0,10.0,8.0,8.0,12.0,2.0
21.0,7.0,7.0,6.0,10.0,8.0,8.0,9.0,8.0,12.0,9.0,7.0
22.0,10.0,10.0,6.0,10.0,5.0,16.0,10.0,6.0,9.0,8.0,12.0
23.0,6.0,9.0,7.0,12.0,8.0,8.0,14.0,12.0,12.0,8.0,14.0
24.0,8.0,7.0,8.0,5.0,7.0,12.0,7.0,8.0,5.0,9.0,8.0
25.0,11.0,12.0,13.0,11.0,12.0,14.0,11.0,15.0,9.0,11.0,15.0
26.0,6.0,8.0,6.0,7.0,7.0,5.0,5.0,6.0,8.0,6.0,11.0
27.0,10.0,13.0,16.0,9.0,10.0,14.0,15.0,14.0,5.0,13.0,10.0
28.0,10.0,8.0,6.0,6.0,6.0,5.0,5.0,7.0,7.0,9.0,11.0
29.0,9.0,8.0,4.0,8.0,8.0,11.0,13.0,10.0,7.0,4.0,5.0
30.0,9.0,10.0,15.0,12.0,10.0,11.0,12.0,10.0,15.0,7.0,10.0
31.0,14.0,10.0,10.0,15.0,10.0,9.0,12.0,13.0,14.0,12.0,6.0
32.0,10.0,9.0,13.0,9.0,10.0,12.0,14.0,13.0,12.0,13.0,15.0
33.0,11.0,13.0,9.0,9.0,11.0,11.0,12.0,11.0,8.0,11.0,7.0
34.0,10.0,12.0,9.0,9.0,6.0,13.0,12.0,12.0,7.0,9.0,9.0
35.0,8.0,8.0,10.0,6.0,9.0,11.0,11.0,8.0,11.0,12.0,4.0
36.0,10.0,10.0,7.0,9.0,10.0,3.0,5.0,12.0,14.0,3.0,10.0
